MIP_ERA,Activity,Institution_ID,Source_ID,Experiment_ID,Variant_Label,n_realizations,zos_size,Resolution,nominal_resolution
CMIP6,HighResMIP,NCAR,CESM1-CAM5-SE-HR,hist-1950,r1i1p1f1,1,"[3600,2400,780]",HR,25 km
CMIP6,HighResMIP,CMCC,CMCC-CM2-HR4,hist-1950,r1i1p1f1,1,"[1442,1051,12]",HR,25 km
CMIP6,HighResMIP,CMCC,CMCC-CM2-VHR4,hist-1950,r1i1p1f1,1,"[1442,1051,12]",HR,25 km
CMIP6,HighResMIP,CNRM-CERFACS,CNRM-CM6-1-HR,hist-1950,r1i1p1f2,3,"[1442,1050,120]",HR,25 km
CMIP6,HighResMIP,CNRM-CERFACS,CNRM-CM6-1-HR,hist-1950,r2i1p1f2,0,"[1442,1050,120]",HR,25 km
CMIP6,HighResMIP,CNRM-CERFACS,CNRM-CM6-1-HR,hist-1950,r3i1p1f2,0,"[1442,1050,120]",HR,25 km
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,historical,r1i1p1f2,1,"[1442,1050,1980]",HR,25 km
CMIP6,CMIP,E3SM-Project,E3SM-1-0,historical,r1i1p1f1,5,"[360,180,60]",LR,100 km
CMIP6,CMIP,E3SM-Project,E3SM-1-0,historical,r2i1p1f1,0,"[360,180,60]",LR,100 km
CMIP6,CMIP,E3SM-Project,E3SM-1-0,historical,r3i1p1f1,0,"[360,180,60]",LR,100 km
CMIP6,CMIP,E3SM-Project,E3SM-1-0,historical,r4i1p1f1,0,"[360,180,60]",LR,100 km
CMIP6,CMIP,E3SM-Project,E3SM-1-0,historical,r5i1p1f1,0,"[360,180,60]",LR,100 km
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P,hist-1950,r1i1p2f1,3,"[362,292,12]",LR,100 km
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P,hist-1950,r2i1p2f1,0,"[362,292,12]",LR,100 km
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P,hist-1950,r3i1p2f1,0,"[362,292,12]",LR,25 km
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,hist-1950,r1i1p2f1,3,"[1442,1050,12]",HR,25 km
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,hist-1950,r2i1p2f1,0,"[1442,1050,12]",HR,50 km
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,hist-1950,r3i1p2f1,0,"[1442,1050,12]",HR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r1i1p1f1,6,"[1442,1021,12]",HR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r2i1p1f1,0,"[1442,1021,12]",HR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r3i1p1f1,0,"[1442,1021,12]",HR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r4i1p1f1,0,"[1442,1021,12]",HR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r5i1p1f1,0,"[1442,1021,12]",HR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r6i1p1f1,0,"[1442,1021,12]",HR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-MR,hist-1950,r1i1p1f1,3,"[1442,1021,12]",MR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-MR,hist-1950,r2i1p1f1,0,"[1442,1021,12]",MR,25 km
CMIP6,HighResMIP,ECMWF,ECMWF-IFS-MR,hist-1950,r3i1p1f1,0,"[1442,1021,12]",MR,25 km
CMIP6,CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,1,"[1440,1080,240]",MR,50 km
CMIP6,CMIP,NOAA-GFDL,GFDL-ESM4,historical,r2i1p1f1,2,"[1440,1080,240]",MR,50 km
CMIP6,CMIP,NOAA-GFDL,GFDL-ESM4,historical,r3i1p1f1,0,"[1440,1080,240]",MR,50 km
CMIP6,HighResMIP,NERC,HadGEM3-GC31-HH,hist-1950,r1i1p1f1,1,"[4320,3604,3]",HR,10 km
CMIP6,HighResMIP,MOHC,HadGEM3-GC31-HM,hist-1950,r1i1p1f1,3,"[1440,1205,12]",HR,50 km
CMIP6,HighResMIP,NERC,HadGEM3-GC31-HM,hist-1950,r1i2p1f1,0,"[1440,1205,12]",HR,50 km
CMIP6,HighResMIP,MOHC,HadGEM3-GC31-HM,hist-1950,r1i3p1f1,0,"[1440,1205,12]",HR,50 km
CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,hist-1950,r1i1p1f1,3,"[1440,1205,12]",MR,100 km
CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,hist-1950,r1i2p1f1,0,"[1440,1205,12]",MR,100 km
CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,hist-1950,r1i3p1f1,0,"[1440,1205,12]",MR,100 km
CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,historical,r1i1p1f3,4,"[1440,1205,240]",MR,25 km
CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,historical,r2i1p1f3,0,"[1440,1205,240]",MR,25 km
CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,historical,r3i1p1f3,0,"[1440,1205,240]",MR,25 km
